rating|progress|edition_id|year|pages|title|author|publisher|status|finished_at|cover_filename|slug|book_id
0.0||122220593|2022|352|A última casa da rua Needless|Catriona Ward|Jangada|want_to_read||https://skoob.s3.amazonaws.com/livros/12245857/A_ULTIMA_CASA_DA_RUA_NEEDLESS_167700030912245857SK-V11677000310B.jpg|a-ultima-casa-da-rua-needless-12245857ed122220593.html|12245857
0.0||873853|2019|256|Uma mulher no escuro|Raphael Montes|Companhia das Letras|want_to_read||https://skoob.s3.amazonaws.com/livros/868181/UMA_MULHER_NO_ESCURO_1555301729868181SK1555301729B.jpg|uma-mulher-no-escuro-868181ed873853.html|868181
0.0||968558|2019|448|Ghost Story|Peter Straub|DarkSide Books|want_to_read||https://skoob.s3.amazonaws.com/livros/967588/GHOST_STORY_1568222305967588SK1568222305B.jpg|ghost-story-967588ed968558.html|967588
0.0||1036453|2014|280|Dias perfeitos|Raphael Draccon|Editora Companhia das Letras|want_to_read||https://skoob.s3.amazonaws.com/livros/1034067/d0ab1019f0b81763d8ec310ac0f9a5b6B.jpg|dias-perfeitos-1034067ed1036453.html|1034067
0.0||12199557|2022|320|Bom dia, Verônica|Ilana Casoy, Raphael Montes|Companhia das Letras|want_to_read||https://skoob.s3.amazonaws.com/livros/627428/BOM_DIAN_VERONICA_1748202833627428SK-V11748202840B.jpg|bom-dia-veronica-627428ed12199557.html|627428
0.0||11668868|2020|224|Verdades do Além-Túmulo|Caitlin Doughty|DarkSide Books|want_to_read||https://skoob.s3.amazonaws.com/livros/11651813/VERDADES_DO_ALEMTUMULO_160200861911651813SK1602008620B.jpg|verdades-do-alem-tumulo-11651813ed11668868.html|11651813
0.0||1013221|2019|288|VHS|Cesar Bravo|Darkside Books|want_to_read||https://skoob.s3.amazonaws.com/livros/1011236/VHS_VERDADEIRAS_HISTRIAS_DE__15731476121011236SK1573147612B.jpg|vhs-1011236ed1013221.html|1011236
0.0||122383018|2023|448|Colapso|Roberto Denser|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/122375241/COLAPSO_1729788808122375241SK-V11729788808B.jpg|colapso-122375241ed122383018.html|122375241
0.0||122418676|2024|224|A Volta do Parafuso (Medo Clássico)|Henry James|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/2034/A_VOLTA_DO_PARAFUSO_17062745392034SK-V11706274541B.jpg|a-volta-do-parafuso-medo-classico-2034ed122418676.html|2034
0.0||12144922|2022|320|O Pescador|John Langan|DarkSide®Books|want_to_read||https://skoob.s3.amazonaws.com/livros/849245/O_PESCADOR_1655487333849245SK-V11655487334B.jpg|o-pescador-849245ed12144922.html|849245
0.0||122509021|2023|384|Cutelo e Corvo|Brynne Weaver|Editora Arqueiro|want_to_read||https://skoob.s3.amazonaws.com/livros/122508228/CUTELO_E_CORVO_1727751176122508228SK-V11727751176B.jpg|cutelo-e-corvo-122508228ed122509021.html|122508228
||122222936|2022|240|A natureza da mordida|Carla Madeira|Editora Record|want_to_read||https://skoob.s3.amazonaws.com/livros/853480/A_NATUREZA_DA_MORDIDA_2283225547B.jpg|a-natureza-da-mordida-853480ed122222936.html|853480
||666672|2017|288|1977: Enfield|Guy Lyon Playfair|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/664384/1977_ENFIELD_1490819281664384SK1490819281B.jpg|1977-enfield-664384ed666672.html|664384
||506396|2015|160|Hellraiser|Clive Barker|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/446938/HELLRAISER_1439490812521363SK1439490812B.jpg|hellraiser-446938ed506396.html|446938
||122564042|2025|368|A Casa da Escuridão Eterna (Crime Scene)|Riley Sager|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/122561222/A_CASA_DA_ESCURIDAO_ETERNA_1743522699122561222SK-V11743522699B.jpg|a-casa-da-escuridao-eterna-crime-scene-122561222ed122564042.html|122561222
||122562197|2025|400|O Colecionador de Monstros|Sam Holland|Darkside Books|want_to_read||https://skoob.s3.amazonaws.com/livros/122559506/O_COLECIONADOR_DE_MONSTROS_1743027918122559506SK-V11743027918B.jpg|o-colecionador-de-monstros-122559506ed122562197.html|122559506
||696223|2017|232|O Meu Pé de Laranja Lima|José Mauro de Vasconcelos|Melhoramentos|want_to_read||https://skoob.s3.amazonaws.com/livros/125/O_MEU_PE_DE_LARANJA_LIMA_50_A_1502132376125SK1502132377B.jpg|o-meu-pe-de-laranja-lima-125ed696223.html|125
||122304573|2022|308|Data Quality Fundamentals|Barr Moses, Lior Gavish, Molly Vorwerck|O'Reilly|want_to_read||https://skoob.s3.amazonaws.com/livros/122299680/DATA_QUALITY_FUNDAMENTALS_1680741833122299680SK-V11680741834B.jpg|data-quality-fundamentals-122299680ed122304573.html|122299680
||1095941|2020|400|Fundamentals of Software Architecture|Mark Richards, Neal Ford||want_to_read||https://skoob.s3.amazonaws.com/livros/1092943/2c2dac9c1eed9f2d744680c22ee4ef64B.jpg|fundamentals-of-software-architecture-1092943ed1095941.html|1092943
||122626778|2020|365|AI and Machine Learning for Coders|Laurence Moroney|O'Reilly|want_to_read||https://skoob.s3.amazonaws.com/livros/122622926/805e1e2001f5cbcfecf0d157d110d716.jpg|ai-and-machine-learning-for-coders-122622926ed122626778.html|122622926
||122598119|2025|288|O pistoleiro (A Torre Negra #1)|Stephen King|Suma|want_to_read||https://skoob.s3.amazonaws.com/livros/318/O_PISTOLEIRO_1755201253318SK-V11755201265B.jpg|o-pistoleiro-a-torre-negra-1-318ed122598119.html|318
||122598120|2025|416|A escolha dos três (A Torre Negra #2)|Stephen King|Suma|want_to_read||https://skoob.s3.amazonaws.com/livros/319/A_ESCOLHA_DOS_TRES_1755201581319SK-V11755201582B.jpg|a-escolha-dos-tres-a-torre-negra-2-319ed122598120.html|319
||122570285|2025|368|Como arruinar um casamento|Alison Espach|Harlequin|want_to_read||https://skoob.s3.amazonaws.com/livros/122532265/COMO_ARRUINAR_UM_CASAMENTO_1748834491122532265SK-V11748834492B.jpg|como-arruinar-um-casamento-122532265ed122570285.html|122532265
||12205300|2022|520|Herdeiros do Tempo (Herdeiros do Tempo #1)|Adrian Tchaikovsky|Morro Branco|want_to_read||https://skoob.s3.amazonaws.com/livros/12224197/HERDEIROS_DO_TEMPO_166065684412224197SK-V11660656845B.jpg|herdeiros-do-tempo-herdeiros-do-tempo-1-12224197ed12205300.html|12224197
||259328|2012|416|A Física do Futuro|Michio Kaku|Rocco|want_to_read||https://skoob.s3.amazonaws.com/livros/231931/A_FISICA_DO_FUTURO_1334115897B.jpg|a-fisica-do-futuro-231931ed259328.html|231931
4.5|100.0|12144946|2022|192|Saboroso cadáver|Agustina Bazterrica|DarkSide Books|read|2026-05-31T02:30:27.707Z|https://skoob.s3.amazonaws.com/livros/12162778/SABOROSO_CADAVER_175500705012162778SK-V11755007061B.jpg|saboroso-cadaver-12162778ed12144946.html|12162778
4.0|100.0|439870|2009|240|O restaurante no fim do universo (O Mochileiro das Galáxias #2)|Douglas Adams|Arqueiro|read|2026-03-14T12:10:53.854Z|https://skoob.s3.amazonaws.com/livros/220/O_RESTAURANTE_NO_FIM_DO_UNIVERSO_1399576981B.jpg|o-restaurante-no-fim-do-universo-o-mochileiro-das-galaxias-2-220ed439870.html|220
0.0|100.0|166723|2009|160|A vida, o universo e tudo mais (O Mochileiro das Galáxias #3)|Douglas Adams|Sextante|read|2026-05-09T00:47:30.100Z|https://skoob.s3.amazonaws.com/livros/315/A_VIDAN_O_UNIVERSO_E_TUDO_MAIS_1549919132315SK1549919140B.jpg|a-vida-o-universo-e-tudo-mais-o-mochileiro-das-galaxias-3-315ed166723.html|315
0.0|100.0|219876|2010|208|Até mais, e obrigado pelos peixes! (O Mochileiro das Galáxias #4)|Douglas Adams|Sextante|read|2026-07-27T16:40:47.914Z|https://skoob.s3.amazonaws.com/livros/674/ATE_MAISN_E_OBRIGADO_PELOS_PEI_1446926709674SK1446926709B.jpg|ate-mais-e-obrigado-pelos-peixes-o-mochileiro-das-galaxias-4-674ed219876.html|674
3.0|100.0|122412543|2024|192|S. Bernardo|Graciliano Ramos|Penguin-Companhia|read|2026-01-23T02:17:49.640Z|https://skoob.s3.amazonaws.com/livros/1918/S_BERNARDO_17049208581918SK-V11704920860B.jpg|s-bernardo-1918ed122412543.html|1918
4.0|100.0|772639|2018|424|Orgulho e Preconceito|Jane Austen|Martin Claret|read|2026-01-04T21:14:07.373Z|https://skoob.s3.amazonaws.com/livros/819/ORGULHO_E_PRECONCEITO_3655304220B.jpg|orgulho-e-preconceito-819ed772639.html|819
4.5|100.0|122431940|2024|432|Palestina|Rashid Khalidi|Todavia|read|2026-04-24T11:34:47.749Z|https://skoob.s3.amazonaws.com/livros/859381/PALESTINA_1709685675859381SK-V11709685676B.jpg|palestina-859381ed122431940.html|859381
2.5|100.0|1003454|2019|192|Cresça 1% ao dia|Fernão Battistoni|Buzz|read|2026-05-22T17:15:32.237Z|https://skoob.s3.amazonaws.com/livros/1001677/CRESCA_1E_AO_DIA_15719367611001677SK1571936762B.jpg|cresca-1-ao-dia-1001677ed1003454.html|1001677
4.5|100.0|486527|2015|256|Uma breve história do tempo|Stephen Hawking|Intrínseca|read|2026-07-23T21:22:02.166Z|https://skoob.s3.amazonaws.com/livros/3708/UMA_BREVE_HISTORIA_DO_TEMPO__14203173293708SK1420317329B.jpg|uma-breve-historia-do-tempo-3708ed486527.html|3708
4.5|100.0|768444|2018|406|A Sabedoria dos Psicopatas|Kevin Dutton|Record|read|2026-07-08T16:50:37.028Z|https://skoob.s3.amazonaws.com/livros/764584/A_SABEDORIA_DOS_PSICOPATAS_1521140380764584SK1521140380B.jpg|a-sabedoria-dos-psicopatas-764584ed768444.html|764584
4.0|100.0|1197900|2020|576|A Cantiga dos Pássaros e das Serpentes (Jogos Vorazes #0.4)|Suzanne Collins|Rocco Jovens Leitores|read|2026-04-06T22:25:20.118Z|https://skoob.s3.amazonaws.com/livros/1201615/A_CANTIGA_DOS_PASSAROS_E_DAS_S_15896653941201615SK1589665394B.jpg|a-cantiga-dos-passaros-e-das-serpentes-jogos-vorazes-04-1201615ed1197900.html|1201615
