rating|progress|edition_id|year|pages|title|author|publisher|status|finished_at|cover_filename|slug|book_id
||874706|2019|320|Pequenas Realidades|Tabitha King|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/868958/PEQUENAS_REALIDADES_1555358794868958SK1555358795B.jpg|pequenas-realidades-868958ed874706.html|868958
||498650|2015|280|Tubarão|Peter Benchley|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/11212/TUBARO_3204339065B.jpg|tubarao-11212ed498650.html|11212
||11882040|2021|352|Sabor amargo (DarkSide #1)|James Hannaham|DarkSide®Books|want_to_read||https://skoob.s3.amazonaws.com/livros/11884879/SABOR_AMARGO_164670076611884879SK-V11646700767B.jpg|sabor-amargo-darkside-1-11884879ed11882040.html|11884879
||784936|2018|320|O Diário de Myriam|Myriam Rawick|DarkSide Books|want_to_read||https://skoob.s3.amazonaws.com/livros/780199/O_DIARIO_DE_MYRIAM_1529439039780199SK1529439039B.jpg|o-diario-de-myriam-780199ed784936.html|780199
||889383|2019|464|Medo Imortal (Medo Clássico)|Machado de Assis|DarkSide Books|want_to_read||https://skoob.s3.amazonaws.com/livros/883027/MEDO_IMORTAL_1559586019883027SK1559586020B.jpg|medo-imortal-medo-classico-883027ed889383.html|883027
||122353363|2023|128|Azul Quase Transparente (DarkSide #1)|Ryu Murakami|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/122347103/AZUL_QUASE_TRANSPARENTE_1691001158122347103SK-V11691001159B.jpg|azul-quase-transparente-darkside-1-122347103ed122353363.html|122347103
||11625653|2020|304|O mal nosso de cada dia| Donald Ray Pollock |DarkSide|want_to_read||https://skoob.s3.amazonaws.com/livros/1266831/O_MAL_NOSSO_DE_CADA_DIA_15953539921266831SK1595353993B.jpg|o-mal-nosso-de-cada-dia-1266831ed11625653.html|1266831
||11945517|2021|352|Mindhunter Profile 2:Mundo Serial Killers (Crime Scene #2)|Robert K., Ressler Shachtman, Tom Shachtman|DarkSide®Books|want_to_read||https://skoob.s3.amazonaws.com/livros/11952834/MINDHUNTER_PROFILE_2MUNDO_SER_163633797311952834SK-V11636337975B.jpg|mindhunter-profile-2mundo-serial-killers-crime-scene-2-11952834ed11945517.html|11952834
||11665400|2020|416|Mindhunter Profile: Serial Killers (Crime Scene®)|Robert K. Ressler, Tom Schachtman|DarkSide Books|want_to_read||https://skoob.s3.amazonaws.com/livros/11648096/MINDHUNTER_PROFLE_SERIAL_KILL_160148093011648096SK1601480930B.jpg|mindhunter-profile-serial-killers-crime-scene-11648096ed11665400.html|11648096
||715891|2018|512|Superinteligência (Crânio)|Nick Bostrom|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/714332/SUPERINTELIGENCIA_CAMINHOSN_P_1537690260714332SK1537690260B.jpg|superinteligencia-cranio-714332ed715891.html|714332
